年份,年份乙,干支,生肖,朝代甲,朝代乙,朝代丙,在位皇帝甲,在位皇帝乙,年号甲,年号乙,年号丙
公元前九百二十六年,-926,乙未,羊,周朝,西周,,西周穆王姬满,,穆王五十二年,,
公元前九百二十五年,-925,丙申,猴,周朝,西周,,西周穆王姬满,,穆王五十三年,,
公元前九百二十四年,-924,丁酉,鸡,周朝,西周,,西周穆王姬满,,穆王五十四年,,
公元前九百二十三年,-923,戊戌,狗,周朝,西周,,西周穆王姬满,,穆王五十五年,,
公元前九百二十二年,-922,己亥,猪,周朝,西周,,西周共王姬伊扈,,共王元年,,
公元前九百二十一年,-921,庚子,鼠,周朝,西周,,西周共王姬伊扈,,共王二年,,
公元前九百二十年,-920,辛丑,牛,周朝,西周,,西周共王姬伊扈,,共王三年,,
公元前九百一十九年,-919,壬寅,虎,周朝,西周,,西周共王姬伊扈,,共王四年,,
公元前九百一十八年,-918,癸卯,兔,周朝,西周,,西周共王姬伊扈,,共王五年,,
公元前九百一十七年,-917,甲辰,龙,周朝,西周,,西周共王姬伊扈,,共王六年,,
公元前九百一十六年,-916,乙巳,蛇,周朝,西周,,西周共王姬伊扈,,共王七年,,
公元前九百一十五年,-915,丙午,马,周朝,西周,,西周共王姬伊扈,,共王八年,,
公元前九百一十四年,-914,丁未,羊,周朝,西周,,西周共王姬伊扈,,共王九年,,
公元前九百一十三年,-913,戊申,猴,周朝,西周,,西周共王姬伊扈,,共王十年,,
公元前九百一十二年,-912,己酉,鸡,周朝,西周,,西周共王姬伊扈,,共王十一年,,
公元前九百一十一年,-911,庚戌,狗,周朝,西周,,西周共王姬伊扈,,共王十二年,,
公元前九百一十年,-910,辛亥,猪,周朝,西周,,西周共王姬伊扈,,共王十三年,,
公元前九百零九年,-909,壬子,鼠,周朝,西周,,西周共王姬伊扈,,共王十四年,,
公元前九百零八年,-908,癸丑,牛,周朝,西周,,西周共王姬伊扈,,共王十五年,,
公元前九百零七年,-907,甲寅,虎,周朝,西周,,西周共王姬伊扈,,共王十六年,,
公元前九百零六年,-906,乙卯,兔,周朝,西周,,西周共王姬伊扈,,共王十七年,,
公元前九百零五年,-905,丙辰,龙,周朝,西周,,西周共王姬伊扈,,共王十八年,,
公元前九百零四年,-904,丁巳,蛇,周朝,西周,,西周共王姬伊扈,,共王十九年,,
公元前九百零三年,-903,戊午,马,周朝,西周,,西周共王姬伊扈,,共王二十年,,
公元前九百零二年,-902,己未,羊,周朝,西周,,西周共王姬伊扈,,共王二十一年,,
公元前九百零一年,-901,庚申,猴,周朝,西周,,西周共王姬伊扈,,共王二十二年,,
公元前九百年,-900,辛酉,鸡,周朝,西周,,西周共王姬伊扈,,共王二十三年,,
公元前八百九十九年,-899,壬戌,狗,周朝,西周,,西周懿王姬坚,,懿王元年,,
公元前八百九十八年,-898,癸亥,猪,周朝,西周,,西周懿王姬坚,,懿王二年,,
公元前八百九十七年,-897,甲子,鼠,周朝,西周,,西周懿王姬坚,,懿王三年,,
公元前八百九十六年,-896,乙丑,牛,周朝,西周,,西周懿王姬坚,,懿王四年,,
公元前八百九十五年,-895,丙寅,虎,周朝,西周,,西周懿王姬坚,,懿王五年,,
公元前八百九十四年,-894,丁卯,兔,周朝,西周,,西周懿王姬坚,,懿王六年,,
公元前八百九十三年,-893,戊辰,龙,周朝,西周,,西周懿王姬坚,,懿王七年,,
公元前八百九十二年,-892,己巳,蛇,周朝,西周,,西周懿王姬坚,西周孝王姬辟方,孝王元年,,
公元前八百九十一年,-891,庚午,马,周朝,西周,,西周孝王姬辟方,,孝王二年,,
公元前八百九十年,-890,辛未,羊,周朝,西周,,西周孝王姬辟方,,孝王三年,,
公元前八百八十九年,-889,壬申,猴,周朝,西周,,西周孝王姬辟方,,孝王四年,,
公元前八百八十八年,-888,癸酉,鸡,周朝,西周,,西周孝王姬辟方,,孝王五年,,
