年份,年份乙,干支,生肖,朝代甲,朝代乙,朝代丙,在位皇帝甲,在位皇帝乙,在位皇帝丙,在位皇帝丁,年号甲,年号乙,年号丙
公元前六百三十二年,-632,己丑,牛,周朝,东周,春秋,东周襄王姬郑,,,,襄王二十年,,
公元前六百三十一年,-631,庚寅,虎,周朝,东周,春秋,东周襄王姬郑,,,,襄王二十一年,,
公元前六百三十年,-630,辛卯,兔,周朝,东周,春秋,东周襄王姬郑,,,,襄王二十二年,,
公元前六百二十九年,-629,壬辰,龙,周朝,东周,春秋,东周襄王姬郑,,,,襄王二十三年,,
公元前六百二十八年,-628,癸巳,蛇,周朝,东周,春秋,东周襄王姬郑,,,,襄王二十四年,,
公元前六百二十七年,-627,甲午,马,周朝,东周,春秋,东周襄王姬郑,,,,襄王二十五年,,
公元前六百二十六年,-626,乙未,羊,周朝,东周,春秋,东周襄王姬郑,,,,襄王二十六年,文公元年,
公元前六百二十五年,-625,丙申,猴,周朝,东周,春秋,东周襄王姬郑,,,,襄王二十七年,文公二年,
公元前六百二十四年,-624,丁酉,鸡,周朝,东周,春秋,东周襄王姬郑,,,,襄王二十八年,文公三年,
公元前六百二十三年,-623,戊戌,狗,周朝,东周,春秋,东周襄王姬郑,,,,襄王二十九年,文公四年,
公元前六百二十二年,-622,己亥,猪,周朝,东周,春秋,东周襄王姬郑,,,,襄王三十年,文公五年,
公元前六百二十一年,-621,庚子,鼠,周朝,东周,春秋,东周襄王姬郑,,,,襄王三十一年,文公六年,
公元前六百二十年,-620,辛丑,牛,周朝,东周,春秋,东周襄王姬郑,,,,襄王三十二年,文公七年,
公元前六百一十九年,-619,壬寅,虎,周朝,东周,春秋,东周襄王姬郑,,,,襄王三十三年,文公八年,
公元前六百一十八年,-618,癸卯,兔,周朝,东周,春秋,东周顷王姬壬臣,,,,顷王元年,文公九年,
公元前六百一十七年,-617,甲辰,龙,周朝,东周,春秋,东周顷王姬壬臣,,,,顷王二年,文公十年,
公元前六百一十六年,-616,乙巳,蛇,周朝,东周,春秋,东周顷王姬壬臣,,,,顷王三年,文公十一年,
公元前六百一十五年,-615,丙午,马,周朝,东周,春秋,东周顷王姬壬臣,,,,顷王四年,文公十二年,
公元前六百一十四年,-614,丁未,羊,周朝,东周,春秋,东周顷王姬壬臣,,,,顷王五年,文公十三年,
公元前六百一十三年,-613,戊申,猴,周朝,东周,春秋,东周顷王姬壬臣,,,,顷王六年,,
公元前六百一十二年,-612,己酉,鸡,周朝,东周,春秋,东周匡王姬班,,,,匡王元年,,
公元前六百一十一年,-611,庚戌,狗,周朝,东周,春秋,东周匡王姬班,,,,匡王二年,,
公元前六百一十年,-610,辛亥,猪,周朝,东周,春秋,东周匡王姬班,,,,匡王三年,,
公元前六百零九年,-609,壬子,鼠,周朝,东周,春秋,东周匡王姬班,,,,匡王四年,,
公元前六百零八年,-608,癸丑,牛,周朝,东周,春秋,东周匡王姬班,,,,匡王五年,宣公元年,
公元前六百零七年,-607,甲寅,虎,周朝,东周,春秋,东周匡王姬班,,,,匡王六年,宣公二年,
公元前六百零六年,-606,乙卯,兔,周朝,东周,春秋,东周定王姬瑜,,,,定王元年,宣公三年,
公元前六百零五年,-605,丙辰,龙,周朝,东周,春秋,东周定王姬瑜,,,,定王二年,宣公四年,
公元前六百零四年,-604,丁巳,蛇,周朝,东周,春秋,东周定王姬瑜,,,,定王三年,宣公五年,
公元前六百零三年,-603,戊午,马,周朝,东周,春秋,东周定王姬瑜,,,,定王四年,宣公六年,
公元前六百零二年,-602,己未,羊,周朝,东周,春秋,东周定王姬瑜,,,,定王五年,宣公七年,
公元前六百零一年,-601,庚申,猴,周朝,东周,春秋,东周定王姬瑜,,,,定王六年,宣公八年,
公元前六百年,-600,辛酉,鸡,周朝,东周,春秋,东周定王姬瑜,,,,定王七年,宣公九年,
公元前五百九十九年,-599,壬戌,狗,周朝,东周,春秋,东周定王姬瑜,,,,定王八年,宣公十年,
公元前五百九十八年,-598,癸亥,猪,周朝,东周,春秋,东周定王姬瑜,,,,定王九年,,
公元前五百九十七年,-597,甲子,鼠,周朝,东周,春秋,东周定王姬瑜,,,,定王十年,,
公元前五百九十六年,-596,乙丑,牛,周朝,东周,春秋,东周定王姬瑜,,,,定王十一年,,
公元前五百九十五年,-595,丙寅,虎,周朝,东周,春秋,东周定王姬瑜,,,,定王十二年,,
公元前五百九十四年,-594,丁卯,兔,周朝,东周,春秋,东周定王姬瑜,,,,定王十三年,,
公元前五百九十三年,-593,戊辰,龙,周朝,东周,春秋,东周定王姬瑜,,,,定王十四年,,
公元前五百九十二年,-592,己巳,蛇,周朝,东周,春秋,东周定王姬瑜,,,,定王十五年,,
公元前五百九十一年,-591,庚午,马,周朝,东周,春秋,东周定王姬瑜,,,,定王十六年,,
